,出发机场,到达机场,航班编号,飞机编号,计划飞行时间,计划起飞时刻,航班月份,计划到达时刻,前序延误,起飞间隔,到达特情,出发特情,出发天气,出发气温,到达天气,到达气温,航空公司,航班性质,飞机延误目标
1438,393,149,16869,0.0,1.9166666,3,5,5,0.458428480424,4.52048854749,0,0,97,0,25,0,73,1,1
124857,423,434,27063,0.0,1.9166666,3,10,5,0.458428480424,4.52048854749,0,0,87,0,16,0,164,1,0
116794,1,230,11629,0.0,0.6666667,9,9,9,0.458428480424,4.52048854749,0,0,82,0,64,0,57,0,0
705,320,261,3946,0.0,3.4166667,8,5,11,0.458428480424,4.52048854749,0,0,64,0,97,0,32,1,1
1092,115,323,14414,0.0,1.4166666,14,5,15,0.458428480424,4.52048854749,0,0,124,0,16,0,66,1,1
132505,27,230,11578,0.0,0.6666667,10,11,11,0.458428480424,4.52048854749,0,0,24,0,82,0,57,0,0
6434,299,385,19554,0.0,1.8333334,2,5,4,0.458428480424,4.52048854749,0,0,64,0,16,0,99,1,1
108747,70,78,20628,0.0,2.0,22,7,0,0.458428480424,4.52048854749,0,0,16,0,35,0,99,0,0
122723,1,230,11577,0.0,0.6666667,6,9,6,0.458428480424,4.52048854749,0,0,16,0,20,0,57,0,0
109227,240,48,13327,0.0,2.75,3,7,6,0.458428480424,4.52048854749,0,0,64,0,117,0,60,0,0
1050,383,163,17051,0.0,2.0,9,5,11,0.458428480424,4.52048854749,0,0,64,0,16,0,73,1,1
122113,226,74,11624,0.0,1.3333334,12,9,13,0.458428480424,4.52048854749,0,0,16,0,43,0,57,0,0
132473,1,230,11690,0.0,0.6666667,8,11,9,0.458428480424,4.52048854749,0,0,16,0,82,0,57,0,0
2869,242,416,1251,0.0,2.0833333,0,5,2,0.458428480424,4.52048854749,0,0,70,0,62,0,6,1,1
92,302,139,12770,0.0,1.0,4,5,5,0.458428480424,4.52048854749,0,0,25,0,16,0,60,0,1
10878,56,48,8944,0.0,4.3333335,7,6,11,0.458428480424,4.52048854749,1,0,119,0,119,0,37,1,1
15287,126,418,19777,0.0,1.1666666,1,6,2,0.458428480424,4.52048854749,0,0,42,0,42,0,99,1,0
3282,393,149,824,0.0,2.25,13,5,15,0.458428480424,4.52048854749,0,0,62,0,62,0,1,1,1
130427,27,230,11580,0.0,0.5,13,10,13,0.458428480424,4.52048854749,0,0,87,0,20,0,57,0,0
85568,414,139,12936,0.0,2.0833333,16,2,18,0.458428480424,4.52048854749,0,0,85,0,25,0,60,0,0
3376,414,293,6846,0.0,1.25,2,5,3,0.458428480424,4.52048854749,0,0,16,0,64,0,37,1,1
4691,210,388,15962,0.0,1.5833334,3,5,4,0.458428480424,4.52048854749,0,0,62,0,3,0,67,1,1
9331,160,20,22081,0.0,2.25,10,6,12,0.458428480424,4.52048854749,0,0,62,0,87,0,99,1,1
7262,373,431,24646,0.0,1.9166666,12,5,14,0.458428480424,4.52048854749,0,0,16,0,22,0,128,1,1
8887,56,48,8944,0.0,4.3333335,7,6,11,0.458428480424,4.52048854749,0,0,3,0,97,0,37,1,1
8267,217,256,735,0.0,4.0833335,23,5,4,0.458428480424,4.52048854749,0,0,22,0,16,0,1,1,1
6877,370,315,27190,0.0,3.1666667,8,5,11,0.458428480424,4.52048854749,0,0,125,0,62,0,164,1,1
128774,397,428,2373,0.0,1.1666666,6,10,7,0.458428480424,4.52048854749,0,0,1,0,21,0,20,1,0
133004,380,63,11658,0.0,1.5,5,11,6,0.458428480424,4.52048854749,1,0,16,0,43,0,57,0,0
119587,226,55,11663,0.0,2.0833333,5,9,7,0.458428480424,4.52048854749,0,0,16,0,16,0,57,0,0
121716,1,230,11622,0.0,0.6666667,3,9,4,0.458428480424,4.52048854749,0,0,82,0,16,0,57,0,0
5083,397,7,25850,0.0,1.3333334,13,5,14,0.458428480424,4.52048854749,0,0,22,0,62,0,145,1,1
14042,303,74,7890,0.0,1.75,16,6,18,0.458428480424,4.52048854749,0,0,16,0,25,0,37,0,0
5454,254,149,25612,0.0,5.4166665,2,5,8,0.458428480424,4.52048854749,0,0,85,0,62,0,140,1,0
9499,146,363,6062,0.0,2.25,23,6,2,0.458428480424,4.52048854749,0,0,99,0,16,0,37,1,1
1025,332,28,14522,0.0,2.9166667,7,5,9,0.458428480424,4.52048854749,0,0,16,0,16,0,66,1,0
102598,27,74,11708,0.0,0.9166667,7,5,8,0.458428480424,4.52048854749,0,0,16,0,16,0,57,1,0
128128,27,230,11842,0.0,0.5,12,10,13,0.458428480424,4.52048854749,0,0,82,0,50,0,57,0,0
119398,1,230,11625,0.0,0.6666667,9,9,9,0.458428480424,4.52048854749,0,0,82,0,102,0,57,0,0
8385,144,149,12851,0.0,3.6666667,4,6,8,0.458428480424,4.52048854749,0,0,62,0,25,0,60,1,1
26389,340,286,17471,0.0,2.0,13,8,15,0.458428480424,4.52048854749,0,0,0,0,24,0,83,1,0
4369,70,450,19687,0.0,2.25,23,5,1,0.458428480424,4.52048854749,0,0,25,0,30,0,99,1,1
81120,62,118,18877,0.0,1.0833334,1,1,2,0.458428480424,4.52048854749,0,0,16,0,22,0,91,0,0
8525,332,183,4079,0.0,2.9166667,10,6,13,0.458428480424,4.52048854749,0,0,70,0,16,0,32,1,1
5160,62,323,9306,0.0,2.3333333,0,5,2,0.458428480424,4.52048854749,0,0,16,0,16,0,37,1,1
6367,289,59,17442,0.0,1.1666666,22,5,0,0.458428480424,4.52048854749,0,0,82,0,28,0,83,1,1
3546,222,388,13261,0.0,0.8333333,15,5,16,0.458428480424,4.52048854749,0,0,24,0,22,0,60,1,0
117085,1,230,11631,0.0,0.6666667,9,9,9,0.458428480424,4.52048854749,0,0,82,0,24,0,57,0,0
1689,417,242,26709,0.0,4.3333335,5,5,9,0.458428480424,4.52048854749,0,0,85,0,64,0,164,1,1
1183,246,222,17861,0.0,0.6666667,2,5,2,0.458428480424,4.52048854749,0,0,22,0,62,0,85,1,1
127259,226,74,11624,0.0,1.3333334,12,10,13,0.458428480424,4.52048854749,0,0,87,0,42,0,57,0,0
532,422,113,12747,0.0,0.6666667,3,5,4,0.458428480424,4.52048854749,0,0,62,0,0,0,60,1,1
8695,423,418,565,0.0,1.3333334,23,6,1,0.458428480424,4.52048854749,0,0,49,0,42,0,1,1,1
105458,226,24,11708,0.0,0.6666667,5,6,6,0.458428480424,4.52048854749,0,0,120,0,9,0,57,1,0
36953,188,222,17794,0.0,1.0833334,15,9,16,0.458428480424,4.52048854749,0,0,95,0,42,0,85,1,0
4598,332,417,14407,0.0,2.0,23,5,1,0.458428480424,4.52048854749,0,0,25,0,82,0,66,1,1
229,299,48,6311,0.0,2.1666667,11,5,13,0.458428480424,4.52048854749,0,0,20,0,28,0,37,1,1
128403,1,230,11587,0.0,0.6666667,6,10,6,0.458428480424,4.52048854749,0,0,16,0,16,0,57,0,0
129334,226,222,11842,0.0,1.25,14,10,15,0.458428480424,4.52048854749,0,0,85,0,95,0,57,0,0
4527,212,363,6523,0.0,1.75,9,5,11,0.458428480424,4.52048854749,1,0,25,0,95,0,37,1,1
123565,1,230,11632,0.0,0.6666667,3,9,4,0.458428480424,4.52048854749,0,0,82,0,82,0,57,0,0
8265,226,163,7541,0.0,6.25,23,5,6,0.458428480424,4.52048854749,0,0,95,0,119,0,37,1,1
85601,35,146,2468,0.0,2.1666667,23,2,1,0.458428480424,4.52048854749,0,0,0,0,0,0,22,2,0
97722,55,388,13332,0.0,4.4166665,19,5,23,0.458428480424,4.52048854749,0,0,16,0,20,0,60,0,0
2543,351,74,21481,0.0,3.3333333,11,5,14,0.458428480424,4.52048854749,0,0,85,0,16,0,99,1,1
7889,160,147,16146,0.0,2.1666667,4,5,7,0.458428480424,4.52048854749,0,0,62,0,62,0,67,1,1
26195,153,147,13046,0.0,2.0833333,13,8,15,0.458428480424,4.52048854749,1,0,17,0,2,0,60,0,0
123845,1,230,11585,0.0,0.6666667,6,10,6,0.458428480424,4.52048854749,0,0,82,0,16,0,57,0,0
120685,226,222,11842,0.0,1.25,14,9,15,0.458428480424,4.52048854749,0,0,16,0,5,0,57,0,0
9029,295,348,17369,0.0,2.0,13,6,15,0.458428480424,4.52048854749,0,0,17,0,22,0,83,1,1
128642,226,149,11625,0.0,2.25,11,10,13,0.458428480424,4.52048854749,0,0,25,0,99,0,57,0,0
10291,101,72,17399,0.0,2.25,1,6,3,0.458428480424,4.52048854749,0,0,16,0,24,0,83,1,1
82343,397,428,9226,0.0,1.0,16,1,17,0.458428480424,4.52048854749,0,0,21,1,14,0,37,0,0
118783,425,315,9274,0.0,2.25,16,9,18,0.458428480424,4.52048854749,1,1,100,0,28,0,37,0,0
86173,50,117,2321,0.0,1.75,2,2,4,0.458428480424,4.52048854749,0,0,0,0,0,0,15,1,0
131841,1,230,11696,0.0,0.6666667,8,11,9,0.458428480424,4.52048854749,0,0,16,0,16,0,57,0,0
85395,11,109,17273,0.0,1.5,20,2,22,0.458428480424,4.52048854749,0,0,0,0,0,0,82,1,0
7852,260,48,6255,0.0,3.5,2,5,5,0.458428480424,4.52048854749,0,0,50,0,117,0,37,1,1
7367,414,360,15354,0.0,2.4166667,2,5,4,0.458428480424,4.52048854749,0,0,20,0,16,0,67,1,1
120689,295,48,2434,0.0,2.25,15,9,17,0.458428480424,4.52048854749,0,0,96,0,62,0,20,1,0
2857,332,417,14407,0.0,2.0,23,5,1,0.458428480424,4.52048854749,0,0,25,0,95,0,66,1,1
9268,68,63,9379,0.0,1.3333334,7,6,8,0.458428480424,4.52048854749,0,0,31,0,96,0,37,1,1
3761,47,300,6002,0.0,1.1666666,11,5,12,0.458428480424,4.52048854749,0,0,124,0,97,0,37,1,1
1993,431,157,11994,0.0,0.5833333,6,5,7,0.458428480424,4.52048854749,0,0,0,0,44,0,57,1,1
127850,1,230,11581,0.0,0.6666667,6,10,6,0.458428480424,4.52048854749,0,0,90,0,98,0,57,0,0
123340,27,230,11686,0.0,0.5,2,9,2,0.458428480424,4.52048854749,0,0,82,0,82,0,57,0,0
9971,47,388,9005,0.0,5.3333335,2,6,7,0.458428480424,4.52048854749,0,0,93,0,62,0,37,1,1
7167,62,412,23837,0.0,1.0,6,5,7,0.458428480424,4.52048854749,0,0,82,0,0,0,116,1,1
8184,115,230,18993,0.0,2.25,11,5,13,0.458428480424,4.52048854749,0,0,95,0,95,0,91,1,1
6765,92,197,22423,0.0,1.0,3,5,4,0.458428480424,4.52048854749,0,0,16,0,0,0,99,1,1
4464,160,416,16146,0.0,4.6666665,4,5,9,0.458428480424,4.52048854749,0,0,20,0,85,0,67,1,1
86129,26,204,24437,0.0,1.8333334,11,2,13,0.458428480424,4.52048854749,0,0,0,0,0,0,127,1,0
6281,68,445,2717,0.0,1.5833334,9,5,11,0.458428480424,4.52048854749,0,0,82,0,24,0,28,1,1
10449,24,55,16678,0.0,1.5,6,6,8,0.458428480424,4.52048854749,0,0,64,0,16,0,73,1,1
6391,320,74,3240,0.0,2.9166667,0,5,2,0.458428480424,4.52048854749,0,0,62,0,25,0,32,1,1
75255,424,92,7588,0.0,4.0,16,1,20,0.458428480424,4.52048854749,0,0,95,0,126,0,37,0,0
5768,106,315,8428,0.0,2.3333333,13,5,16,0.458428480424,4.52048854749,0,0,20,0,62,0,37,1,1
5183,373,417,19098,0.0,2.25,2,5,4,0.458428480424,4.52048854749,0,0,62,0,35,0,91,1,1
84720,61,127,2828,0.0,1.0833334,4,2,5,0.458428480424,4.52048854749,0,0,0,0,0,0,31,1,0
120318,226,297,11628,0.0,2.25,6,9,8,0.458428480424,4.52048854749,0,0,16,0,1,0,57,0,0
2649,423,405,16164,0.0,2.5833333,0,5,3,0.458428480424,4.52048854749,0,0,99,0,95,0,67,1,1
132097,380,63,11661,0.0,1.5,5,11,6,0.458428480424,4.52048854749,0,0,16,0,24,0,57,0,0
128708,190,63,11696,0.0,0.75,2,10,3,0.458428480424,4.52048854749,0,0,0,0,49,0,57,0,0
124588,226,369,11686,0.0,0.5833333,3,10,3,0.458428480424,4.52048854749,0,0,89,0,62,0,57,0,0
2379,419,363,712,0.0,2.1666667,1,5,3,0.458428480424,4.52048854749,0,0,0,0,103,0,1,1,1
35636,332,118,21630,0.0,1.8333334,0,9,2,0.458428480424,4.52048854749,0,0,17,0,97,0,99,1,0
6056,368,416,15021,0.0,3.0833333,11,5,14,0.458428480424,4.52048854749,0,0,16,0,62,0,67,1,1
8614,370,74,27349,0.0,2.6666667,13,6,16,0.458428480424,4.52048854749,0,0,95,0,16,0,164,1,1
127377,226,149,11626,0.0,2.3333333,5,10,8,0.458428480424,4.52048854749,0,0,82,0,49,0,57,0,0
24412,397,417,18626,0.0,5.5,16,7,21,0.458428480424,4.52048854749,0,0,22,0,9,0,91,0,0
24672,299,363,24030,0.0,2.3333333,16,7,18,0.458428480424,4.52048854749,0,0,2,0,75,0,116,0,0
123343,190,63,11696,0.0,0.75,2,9,3,0.458428480424,4.52048854749,0,0,0,0,85,0,57,0,0
129947,1,230,11625,0.0,0.6666667,9,10,9,0.458428480424,4.52048854749,0,0,42,0,42,0,57,0,0
132778,226,118,11694,0.0,2.0,8,11,10,0.458428480424,4.52048854749,0,0,87,0,24,0,57,0,0
117560,27,230,11694,0.0,0.5,2,9,2,0.458428480424,4.52048854749,0,0,5,0,95,0,57,0,0
5824,136,315,5604,0.0,3.75,0,5,4,0.458428480424,4.52048854749,0,0,119,0,64,0,37,1,1
6842,414,63,711,0.0,1.5833334,6,5,8,0.458428480424,4.52048854749,0,0,45,0,82,0,1,1,1
129284,226,323,11582,0.0,2.5833333,9,10,11,0.458428480424,4.52048854749,1,0,85,0,37,0,57,0,0
